timestamp,city,latitude,longitude,temperature_2m,relative_humidity_2m,precipitation,rain,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,soil_temperature_0cm,soil_moisture_0_to_1cm
2026-05-15T08:00,Mumbai,19.076,72.8777,30.9,70,0.0,0.0,1006.4,9.6,319,56,,
2026-05-15T09:00,Mumbai,19.076,72.8777,31.5,67,0.0,0.0,1007.0,9.2,309,53,,
2026-05-15T10:00,Mumbai,19.076,72.8777,32.2,64,0.0,0.0,1007.5,9.5,285,74,,
2026-05-15T11:00,Mumbai,19.076,72.8777,32.1,64,0.0,0.0,1007.5,12.2,279,91,,
2026-05-15T12:00,Mumbai,19.076,72.8777,32.7,60,0.0,0.0,1006.9,12.7,281,76,,
2026-05-15T13:00,Mumbai,19.076,72.8777,33.0,59,0.0,0.0,1005.7,14.1,280,88,,
2026-05-15T14:00,Mumbai,19.076,72.8777,32.7,62,0.0,0.0,1004.9,15.0,281,91,,
2026-05-15T15:00,Mumbai,19.076,72.8777,32.4,63,0.0,0.0,1004.3,14.3,284,51,,
2026-05-15T16:00,Mumbai,19.076,72.8777,32.0,64,0.0,0.0,1003.8,13.2,287,45,,
2026-05-15T17:00,Mumbai,19.076,72.8777,31.5,66,0.0,0.0,1003.9,12.3,281,2,,
2026-05-15T18:00,Mumbai,19.076,72.8777,30.6,71,0.0,0.0,1004.2,11.9,285,0,,
2026-05-15T19:00,Mumbai,19.076,72.8777,30.0,74,0.0,0.0,1004.3,11.4,286,1,,
2026-05-15T20:00,Mumbai,19.076,72.8777,29.8,75,0.0,0.0,1005.0,11.9,290,5,,
2026-05-15T21:00,Mumbai,19.076,72.8777,29.6,77,0.0,0.0,1005.5,12.2,299,21,,
2026-05-15T22:00,Mumbai,19.076,72.8777,29.5,77,0.0,0.0,1005.8,12.0,305,23,,
2026-05-15T23:00,Mumbai,19.076,72.8777,29.0,77,0.0,0.0,1005.3,10.3,319,21,,
2026-05-13T00:00,Delhi,28.7041,77.1025,29.4,59,0.0,0.0,977.7,10.7,83,0,,
2026-05-13T01:00,Delhi,28.7041,77.1025,28.5,61,0.0,0.0,977.1,11.1,106,0,,
2026-05-13T02:00,Delhi,28.7041,77.1025,28.0,62,0.0,0.0,976.9,9.1,112,1,,
2026-05-13T03:00,Delhi,28.7041,77.1025,27.5,63,0.0,0.0,977.5,7.2,104,0,,
2026-05-13T04:00,Delhi,28.7041,77.1025,27.0,65,0.0,0.0,977.9,8.3,68,0,,
2026-05-13T05:00,Delhi,28.7041,77.1025,27.5,65,0.0,0.0,977.9,11.1,115,0,,
2026-05-13T06:00,Delhi,28.7041,77.1025,27.5,66,0.0,0.0,978.6,8.5,118,2,,
2026-05-13T07:00,Delhi,28.7041,77.1025,28.8,62,0.0,0.0,979.3,8.6,98,0,,
2026-05-13T08:00,Delhi,28.7041,77.1025,30.9,55,0.0,0.0,980.0,10.3,77,9,,
2026-05-13T09:00,Delhi,28.7041,77.1025,33.3,46,0.0,0.0,980.1,10.6,92,4,,
2026-05-13T10:00,Delhi,28.7041,77.1025,35.8,37,0.0,0.0,979.6,9.4,113,0,,
2026-05-13T11:00,Delhi,28.7041,77.1025,36.6,29,0.0,0.0,979.7,10.1,134,27,,
2026-05-13T12:00,Delhi,28.7041,77.1025,37.5,28,0.0,0.0,978.8,7.1,126,1,,
2026-05-13T13:00,Delhi,28.7041,77.1025,38.3,26,0.0,0.0,977.6,5.5,134,9,,
2026-05-13T14:00,Delhi,28.7041,77.1025,39.0,24,0.0,0.0,976.1,4.0,150,12,,
2026-05-13T15:00,Delhi,28.7041,77.1025,39.4,21,0.0,0.0,975.4,3.3,229,23,,
2026-05-13T16:00,Delhi,28.7041,77.1025,38.5,20,0.0,0.0,975.7,13.5,291,34,,
2026-05-13T17:00,Delhi,28.7041,77.1025,38.8,27,0.1,0.1,973.5,4.0,111,13,,
2026-05-13T18:00,Delhi,28.7041,77.1025,37.2,30,0.0,0.0,974.0,4.5,137,4,,
2026-05-13T19:00,Delhi,28.7041,77.1025,35.5,35,0.0,0.0,974.7,0.7,14,30,,
2026-05-13T20:00,Delhi,28.7041,77.1025,33.8,43,0.0,0.0,975.9,4.3,5,43,,
2026-05-13T21:00,Delhi,28.7041,77.1025,32.7,50,0.0,0.0,976.5,6.6,45,91,,
2026-05-13T22:00,Delhi,28.7041,77.1025,32.2,54,0.0,0.0,976.4,7.9,66,78,,
2026-05-13T23:00,Delhi,28.7041,77.1025,28.0,62,0.0,0.0,977.4,12.9,37,57,,
2026-05-14T00:00,Delhi,28.7041,77.1025,27.6,60,0.0,0.0,976.2,9.0,60,58,,
2026-05-14T01:00,Delhi,28.7041,77.1025,27.5,57,0.0,0.0,975.4,7.6,54,80,,
2026-05-14T02:00,Delhi,28.7041,77.1025,27.6,56,0.0,0.0,975.1,1.9,131,91,,
2026-05-14T03:00,Delhi,28.7041,77.1025,27.6,55,0.0,0.0,975.1,4.4,218,94,,
2026-05-14T04:00,Delhi,28.7041,77.1025,27.4,55,0.0,0.0,975.3,7.8,217,80,,
2026-05-14T05:00,Delhi,28.7041,77.1025,26.6,63,0.0,0.0,975.7,9.3,212,88,,
2026-05-14T06:00,Delhi,28.7041,77.1025,26.4,62,0.0,0.0,977.0,7.1,218,41,,
2026-05-14T07:00,Delhi,28.7041,77.1025,27.9,52,0.0,0.0,977.3,7.0,209,16,,
2026-05-14T08:00,Delhi,28.7041,77.1025,30.6,41,0.0,0.0,977.9,6.3,215,9,,
2026-05-14T09:00,Delhi,28.7041,77.1025,33.5,33,0.0,0.0,978.5,5.9,225,23,,
2026-05-14T10:00,Delhi,28.7041,77.1025,35.8,28,0.0,0.0,979.0,4.5,233,60,,
2026-05-14T11:00,Delhi,28.7041,77.1025,37.4,22,0.0,0.0,978.9,0.9,180,41,,
2026-05-14T12:00,Delhi,28.7041,77.1025,38.8,21,0.0,0.0,978.3,3.1,7,74,,
2026-05-14T13:00,Delhi,28.7041,77.1025,38.8,21,0.0,0.0,977.6,3.9,332,30,,
2026-05-14T14:00,Delhi,28.7041,77.1025,38.9,20,0.0,0.0,976.6,6.3,305,17,,
2026-05-14T15:00,Delhi,28.7041,77.1025,38.5,21,0.0,0.0,975.9,4.4,353,16,,
2026-05-14T16:00,Delhi,28.7041,77.1025,38.5,21,0.0,0.0,975.1,4.2,10,7,,
2026-05-14T17:00,Delhi,28.7041,77.1025,38.2,23,0.0,0.0,973.8,10.8,42,5,,
2026-05-14T18:00,Delhi,28.7041,77.1025,36.5,29,0.0,0.0,974.2,12.0,54,10,,
2026-05-14T19:00,Delhi,28.7041,77.1025,35.0,34,0.0,0.0,974.9,10.0,62,7,,
2026-05-14T20:00,Delhi,28.7041,77.1025,34.5,36,0.0,0.0,975.4,9.4,78,63,,
2026-05-14T21:00,Delhi,28.7041,77.1025,34.3,37,0.0,0.0,976.1,8.1,107,21,,
2026-05-14T22:00,Delhi,28.7041,77.1025,33.3,40,0.0,0.0,976.5,5.0,90,71,,
2026-05-14T23:00,Delhi,28.7041,77.1025,30.7,50,0.0,0.0,977.8,12.7,306,100,,
2026-05-15T00:00,Delhi,28.7041,77.1025,28.3,60,0.0,0.0,977.3,9.1,284,100,,
2026-05-15T01:00,Delhi,28.7041,77.1025,28.0,64,0.0,0.0,977.6,12.0,319,99,,
2026-05-15T02:00,Delhi,28.7041,77.1025,28.5,53,0.0,0.0,977.3,13.3,333,89,,
2026-05-15T03:00,Delhi,28.7041,77.1025,27.8,53,0.0,0.0,976.7,11.8,351,48,,
2026-05-15T04:00,Delhi,28.7041,77.1025,27.2,51,0.0,0.0,976.2,8.6,358,25,,
2026-05-15T05:00,Delhi,28.7041,77.1025,28.6,49,0.0,0.0,975.6,9.0,22,28,,
2026-05-15T06:00,Delhi,28.7041,77.1025,28.2,53,0.0,0.0,976.8,3.7,209,1,,
2026-05-15T07:00,Delhi,28.7041,77.1025,29.9,47,0.0,0.0,977.7,5.6,209,0,,
2026-05-15T08:00,Delhi,28.7041,77.1025,32.0,40,0.0,0.0,978.4,4.7,252,0,,
2026-05-15T09:00,Delhi,28.7041,77.1025,33.9,33,0.0,0.0,979.1,4.3,253,0,,
2026-05-15T10:00,Delhi,28.7041,77.1025,35.8,25,0.0,0.0,979.5,5.6,255,0,,
2026-05-15T11:00,Delhi,28.7041,77.1025,38.2,20,0.0,0.0,979.3,10.1,246,1,,
2026-05-15T12:00,Delhi,28.7041,77.1025,38.8,18,0.0,0.0,978.9,11.0,273,31,,
2026-05-15T13:00,Delhi,28.7041,77.1025,39.2,18,0.0,0.0,978.0,11.0,293,10,,
2026-05-15T14:00,Delhi,28.7041,77.1025,39.5,16,0.0,0.0,976.8,15.9,302,16,,
2026-05-15T15:00,Delhi,28.7041,77.1025,39.0,16,0.0,0.0,976.3,18.2,300,9,,
2026-05-15T16:00,Delhi,28.7041,77.1025,38.6,17,0.0,0.0,975.6,15.7,308,10,,
2026-05-15T17:00,Delhi,28.7041,77.1025,37.8,19,0.0,0.0,975.4,11.6,345,24,,
2026-05-15T18:00,Delhi,28.7041,77.1025,36.3,23,0.0,0.0,975.5,9.4,17,1,,
2026-05-15T19:00,Delhi,28.7041,77.1025,34.7,28,0.0,0.0,975.9,9.4,43,1,,
2026-05-15T20:00,Delhi,28.7041,77.1025,33.4,32,0.0,0.0,976.5,6.0,27,0,,
2026-05-15T21:00,Delhi,28.7041,77.1025,32.5,36,0.0,0.0,977.2,5.8,2,1,,
2026-05-15T22:00,Delhi,28.7041,77.1025,31.0,40,0.0,0.0,977.6,7.9,13,0,,
2026-05-15T23:00,Delhi,28.7041,77.1025,30.6,44,0.0,0.0,977.3,7.5,8,0,,
2026-05-13T00:00,Chennai,13.0827,80.2707,29.4,75,0.0,0.0,1003.8,4.7,23,90,,
2026-05-13T01:00,Chennai,13.0827,80.2707,29.1,76,0.0,0.0,1003.3,5.1,18,99,,
2026-05-13T02:00,Chennai,13.0827,80.2707,28.9,78,0.0,0.0,1002.6,5.9,360,98,,
2026-05-13T03:00,Chennai,13.0827,80.2707,28.5,80,0.0,0.0,1002.2,5.4,352,95,,
2026-05-13T04:00,Chennai,13.0827,80.2707,28.1,82,0.0,0.0,1002.3,4.8,347,7,,
2026-05-13T05:00,Chennai,13.0827,80.2707,28.0,84,0.0,0.0,1002.6,5.0,341,95,,
2026-05-13T06:00,Chennai,13.0827,80.2707,28.1,84,0.0,0.0,1002.9,6.6,331,96,,
2026-05-13T07:00,Chennai,13.0827,80.2707,29.5,76,0.0,0.0,1003.6,8.7,352,93,,
2026-05-13T08:00,Chennai,13.0827,80.2707,31.4,66,0.0,0.0,1004.1,9.0,3,81,,
2026-05-13T09:00,Chennai,13.0827,80.2707,32.8,58,0.0,0.0,1004.5,10.3,12,84,,
2026-05-13T10:00,Chennai,13.0827,80.2707,34.1,52,0.0,0.0,1004.0,12.3,22,92,,
2026-05-13T11:00,Chennai,13.0827,80.2707,35.0,49,0.0,0.0,1003.5,12.4,24,30,,
2026-05-13T12:00,Chennai,13.0827,80.2707,35.1,48,0.0,0.0,1002.4,14.3,28,16,,
2026-05-13T13:00,Chennai,13.0827,80.2707,35.0,48,0.0,0.0,1001.3,17.0,36,89,,
2026-05-13T14:00,Chennai,13.0827,80.2707,33.8,55,0.0,0.0,1000.3,18.0,39,93,,
2026-05-13T15:00,Chennai,13.0827,80.2707,33.0,57,0.0,0.0,1000.2,16.8,48,95,,
2026-05-13T16:00,Chennai,13.0827,80.2707,32.0,60,0.0,0.0,1000.5,16.2,53,100,,
2026-05-13T17:00,Chennai,13.0827,80.2707,31.4,66,0.0,0.0,1001.0,16.1,51,100,,
2026-05-13T18:00,Chennai,13.0827,80.2707,30.5,71,0.0,0.0,1001.3,14.0,52,99,,
2026-05-13T19:00,Chennai,13.0827,80.2707,30.4,72,0.0,0.0,1002.1,13.0,59,99,,
